Bird Name,French Name,Image URL,Sound URL,Score,Difficulty,View Count,Latin Name
Kermadec Petrel,Pétrel des Kermadec,https://upload.wikimedia.org/wikipedia/commons/f/f6/Fledgling_Kermadec_Petrel_chick_%26_parent.jpg,https://xeno-canto.org/141334/download,0,3,141,Pterodroma neglecta
Trindade Petrel,Pétrel de Trindade,https://upload.wikimedia.org/wikipedia/commons/3/33/Pterodroma_arminjoniana_1.jpeg,https://xeno-canto.org/77650/download,0,3,226,Pterodroma arminjoniana
Zino's Petrel,Pétrel de Madère,https://upload.wikimedia.org/wikipedia/commons/0/09/Pterodroma_madeira_92954030_%28cropped%29.jpg,https://xeno-canto.org/461964/download,0,3,1480,Pterodroma madeira
Fea's Petrel,Pétrel gongon,https://upload.wikimedia.org/wikipedia/commons/3/3d/Feas_Petrel_From_The_Crossley_ID_Guide_Eastern_Birds.jpg,https://xeno-canto.org/718735/download,0,3,317,Pterodroma feae
Soft-plumaged Petrel,Pétrel soyeux,https://upload.wikimedia.org/wikipedia/commons/9/90/Pterodroma_mollis_light_morph_-_SE_Tasmania_2019.jpg,https://xeno-canto.org/927149/download,0,3,154,Pterodroma madeira
Barau's Petrel,Pétrel de Barau,https://upload.wikimedia.org/wikipedia/commons/c/c3/Pterodroma_baraui%2C_Durban%2C_Birding_Weto%2C_b.jpg,https://xeno-canto.org/309351/download,0,3,2,Pterodroma baraui
Bermuda Petrel,Pétrel des Bermudes,https://upload.wikimedia.org/wikipedia/commons/8/84/Bermuda_Petrel_From_The_Crossley_ID_Guide_Eastern_Birds%2C_crop.jpg,https://xeno-canto.org/738388/download,0,3,605,Pterodroma cahow
Black-capped Petrel,Pétrel diablotin,https://upload.wikimedia.org/wikipedia/commons/7/7e/Pterodroma_hasitataPCCA20070623-3608B.jpg,,0,3,393,Pterodroma hasitata
Atlantic Petrel,Pétrel de Schlegel,https://upload.wikimedia.org/wikipedia/commons/5/5d/PterodromaIncerta.jpg,https://xeno-canto.org/332462/download,0,3,0,Pterodroma incerta
Bulwer's Petrel,Pétrel de Bulwer,https://upload.wikimedia.org/wikipedia/commons/e/e4/P%C3%A9trel_de_Bulwer.jpg,https://xeno-canto.org/619771/download,0,3,0,Bulweria bulwerii
White-chinned Petrel,Puffin à menton blanc,https://upload.wikimedia.org/wikipedia/commons/a/a3/Procellaria_aequinoctialis_1_-_SE_Tasmania.jpg,https://xeno-canto.org/863989/download,0,3,456,Procellaria aequinoctialis
