Latin Name,Bird Name,French Name,Difficulty,View Count,URL anglais,URL français,Image Low,Image High,Sound URL,Score
Acrocephalus palustris,Marsh Warbler,Rousserolle verderolle,2,2641,https://en.wikipedia.org/wiki/Marsh_Warbler,https://fr.wikipedia.org/wiki/Rousserolle_verderolle,https://upload.wikimedia.org/wikipedia/commons/a/a1/Acrocephalus_palustris_%28Marek_Szczepanek%29b.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a1/Acrocephalus_palustris_%28Marek_Szczepanek%29b.jpg,https://xeno-canto.org/971602/download,0
Acrocephalus schoenobaenus,Sedge Warbler,Phragmite des joncs,2,6691,https://en.wikipedia.org/wiki/Sedge_Warbler,https://fr.wikipedia.org/wiki/Phragmite_des_joncs,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Sedge_warbler_%28Acrocephalus_schoenobaenus%29_3.jpg/500px-Sedge_warbler_%28Acrocephalus_schoenobaenus%29_3.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Sedge_warbler_%28Acrocephalus_schoenobaenus%29_3.jpg/1024px-Sedge_warbler_%28Acrocephalus_schoenobaenus%29_3.jpg,https://xeno-canto.org/978974/download,0
Acrocephalus scirpaceus,Common Reed Warbler,Rousserolle effarvatte,2,15687,https://en.wikipedia.org/wiki/Common_Reed_Warbler,https://fr.wikipedia.org/wiki/Rousserolle_effarvatte,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/PleidelsheimerWiesentalTeichrohrsaenger.jpg/500px-PleidelsheimerWiesentalTeichrohrsaenger.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/PleidelsheimerWiesentalTeichrohrsaenger.jpg/1024px-PleidelsheimerWiesentalTeichrohrsaenger.jpg,https://xeno-canto.org/991259/download,0
Acrocephalus stentoreus,Clamorous Reed Warbler,Rousserolle stentor,3,176,https://en.wikipedia.org/wiki/Clamorous_Reed_Warbler,https://fr.wikipedia.org/wiki/Rousserolle_stentor,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Clamorous_reed_warbler.jpg/500px-Clamorous_reed_warbler.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Clamorous_reed_warbler.jpg/1024px-Clamorous_reed_warbler.jpg,https://xeno-canto.org/977471/download,0
Actitis hypoleucos,Common Sandpiper,Chevalier guignette,2,9219,https://en.wikipedia.org/wiki/Common_Sandpiper,https://fr.wikipedia.org/wiki/Chevalier_guignette,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Actitis_hypoleucos_-_Laem_Pak_Bia.jpg/500px-Actitis_hypoleucos_-_Laem_Pak_Bia.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Actitis_hypoleucos_-_Laem_Pak_Bia.jpg/1024px-Actitis_hypoleucos_-_Laem_Pak_Bia.jpg,https://xeno-canto.org/982468/download,0
Actitis macularius,Spotted Sandpiper,Chevalier grivelé,3,1914,https://en.wikipedia.org/wiki/Spotted_Sandpiper,https://fr.wikipedia.org/wiki/Chevalier_grivel%C3%A9,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Actitis-macularia-005.jpg/500px-Actitis-macularia-005.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Actitis-macularia-005.jpg/1024px-Actitis-macularia-005.jpg,https://xeno-canto.org/928730/download,0
Aegithalos caudatus,Long-tailed Tit,Mésange à longue queue,1,72946,https://en.wikipedia.org/wiki/Long-tailed_Tit,https://fr.wikipedia.org/wiki/M%C3%A9sange_%C3%A0_longue_queue,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Aegithalos_caudatus_side-on.jpg/500px-Aegithalos_caudatus_side-on.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Aegithalos_caudatus_side-on.jpg/1024px-Aegithalos_caudatus_side-on.jpg,https://xeno-canto.org/980798/download,0
Aegolius funereus,Boreal Owl,Nyctale de Tengmalm,2,9124,https://en.wikipedia.org/wiki/Boreal_Owl,https://fr.wikipedia.org/wiki/Nyctale_de_Tengmalm,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Aegolius-funereus-001.jpg/500px-Aegolius-funereus-001.jpg,https://upload.wikimedia.org/wikipedia/commons/1/17/Aegolius-funereus-001.jpg,https://xeno-canto.org/978839/download,0
Aegypius monachus,Cinereous Vulture,Vautour moine,2,12469,https://en.wikipedia.org/wiki/Cinereous_Vulture,https://fr.wikipedia.org/wiki/Vautour_moine,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Buitre_negro_%281%29.jpg/500px-Buitre_negro_%281%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Buitre_negro_%281%29.jpg/1024px-Buitre_negro_%281%29.jpg,https://xeno-canto.org/917405/download,0
Aenigmatolimnas marginalis,Striped Crake,Marouette rayée,3,107,https://en.wikipedia.org/wiki/Striped_Crake,https://fr.wikipedia.org/wiki/Marouette_ray%C3%A9e,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Aenigmatolimnas_marginalis%2C_Kgomo-kgomo-vleiland%2C_Birding_Weto%2C_a.jpg/500px-Aenigmatolimnas_marginalis%2C_Kgomo-kgomo-vleiland%2C_Birding_Weto%2C_a.jpg,https://upload.wikimedia.org/wikipedia/commons/9/93/Aenigmatolimnas_marginalis%2C_Kgomo-kgomo-vleiland%2C_Birding_Weto%2C_a.jpg,https://xeno-canto.org/980421/download,0
